model_name,requests,total_tokens,avg_tokens_per_request,cost_usd,avg_cost_per_request,latency_s,success,cost_per_success
gpt-4o-mini,2,255,127.5,0.0006299999999999999,0.00031499999999999996,1.15,1.0,0.0006299999999999999
gpt-4-turbo,2,1250,625.0,0.0125,0.00625,4.85,1.0,0.0125
